id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 9
b7d4236b-d844-42f6-a2bf-a09efd426abd,IRWIN,2023-01-08 20:10,"RRU, RADWELL DR  MOVA IC Riverside",RVC,LOCAL,Riverside,6,"33.9274948983629, -117.239495006288",Urban,Sierra,,
b3d8eae0-e7d0-458a-ab6b-6085d76174c8,IRWIN,2023-01-08 21:47,"RRU, HY 60  W/ BOX SPRINGS RD ONRP IC Riverside",RRU,STATE,Riverside,6,"33.9518358975914, -117.303319019239",,,,
d54f2e4c-aae4-4eed-aec9-63396f1fb6a4,IRWIN,2023-01-01 00:59,"RRU, BLISS AV  INDO IC Riverside",RVC,LOCAL,Riverside,6,"33.7193509298212, -116.227786813046",,,,
984ef428-a7dc-434c-a6dd-12345a31fec1,IRWIN,2023-01-01 02:11,"RRU, 1ST ST  DHSP IC Riverside",RVC,LOCAL,Riverside,6,"33.962374943084, -116.509915882064",,,,
49d76703-d25f-40a2-8102-4f2b83d1fa02,IRWIN,2023-01-01 11:13,"CDF, 2023 Tactical Aircraft Movement IC Sacramento",SAC,LOCAL,Sacramento,4,"38.5700050933103, -121.306124240383",Other - Enter reason,Dawn,tactical aircraft move?,
c7000061-aa1e-48ef-96d9-87a779c1d312,IRWIN,2023-01-01 13:01,"TGU, MAIN IC Tehama",RBU,LOCAL,Tehama,3,"40.1705041485812, -122.228902492506",Other - Enter reason,Dawn,near river in urban area,
d3affd6a-fe0c-482e-a808-1f1265544bd1,IRWIN,2023-01-01 13:32,"RRU, LA SIERRA AV / CAJALCO RD IC Riverside",RRU,STATE,Riverside,6,"33.8292578748211, -117.460368036396",Fusion Center Instruction,Dawn,"pass, raining",
b398eb6f-f74d-4b7b-b44f-0b6df8d526f0,IRWIN,2023-01-01 15:29,"CDD, VEG/JKP/81A IC San Bernardino",BDU,LOCAL,San Bernardino,6,"34.178616090852, -116.290567420895",Other - Enter reason,Dawn,old alert,
0a690f99-e5ed-4ca6-8486-a0d2c5f2b2dd,IRWIN,2023-01-01 17:02,"RRU, MATTHEWS IC Riverside",RVC,LOCAL,Riverside,6,"33.7329828806543, -117.154086976083",Other - Enter reason,Dawn,old alert,
1377338381,PulsePoint,2023-01-01 17:27,"LAC, N 45TH ST W & W AVENUE L, QUARTZ HILL",LAC,LOCAL,Los Angeles,1,"34.66015, -118.21018999999998",Fusion Center Instruction,Dawn,"pass, raining",
1377439215,PulsePoint,2023-01-01 19:56,"LAC, W AVENUE J & VALLEY CENTRAL WAY, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.68932999999999, -118.17227",Urban,Sierra,weather also,
