id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1762672633,PulsePoint,2024-02-29 23:01,"LAC, S LONG BEACH BLVD & 105 FWY, LYNWOOD",LAC,LOCAL,Los Angeles,1.0,"33.92319, -118.20975999999999",,,,,,,,,
,PP,2024-02-09 12:06,"1340 Roberts Ln, Bakersfield, CA, 93308, USA",KC,LOCAL,Kern,5.0,N 35° 24.631' W 119° 2.761',Urban,Rawaf,,,,,,,
,PP,2024-02-09 12:47,"Kimberlina Road/N, CA-99 N, Mc Farland, CA, 93250, USA",KC,LOCAL,Kern,5.0,N 35° 33.836' W 119° 11.955',Agriculture / farm,Rawaf,,,,,,,
1740761224.0,PP,2024-02-09 17:27,"3742 Fulton Rd, Fulton, CA",,LOCAL,Sonoma,2.0,N 38° 29.971' W 122° 46.197',Nothing on cameras,Jen,Nothing on radio,,,,,,
,PP,2024-02-13 17:33,"Los Angeles Ave & Balcom Canyon Rd, Moorpark, CA, 93021, USA",VCRD,LOCAL,Ventura,1.0,N 34° 16.127' W 118° 57.350',Agriculture / farm,Rawaf,,,,,,,
,PP,2024-02-13 17:33,"US-101 N & S Santa Maria Way, Santa Maria, CA, 93455, USA",SBC,LOCAL,Santa Barbara,1.0,N 34° 53.468' W 120° 25.051',Agriculture / farm,Rawaf,,,,,,,
,PP,2024-02-15 12:40,"2000 Giaramita St, Richmond, CA, 94801, USA",CCCFPD,LOCAL,Contra Costa,2.0,N 37° 57.697' W 122° 21.777',Agriculture / farm,Rawaf,"Also, urban. Single resource dispached.",,,,,,
,PP,2024-02-15 13:20,"EB STONY POINT RD ONRAMP & EB DUTTON AV OFFRAMP, SANTA ROSA, CA",SOCO,LOCAL,Sonoma,2.0,N 38° 25.928' W 122° 44.009',Urban,Rawaf,,,,,,,
,PP,2024-02-16 11:52,"11045 Westside Ave, Forestville, CA, 95436, USA",SOCO,STATE,Sonoma,2.0,N 38° 30.643' W 122° 55.762',Nothing on cameras,Rawaf,"Also, single resource dispached.",,,,,,
1750258167.0,PP,2024-02-18 10:24,"Joe Rodota Trail & Sebastopol Road, Santa Rosa, CA",SOCO,STATE,Sonoma,2.0,N 38° 25.919' W 122° 43.318',Urban,Jen,skip,,,,,,
1751155203.0,PP,2024-02-19 8:05,"4016 Oakcrest Dr, San Diego, CA, 92105, USA",SDFD,LOCAL,San Diego,6.0,N 32° 44.962' W 117° 5.163',Urban,Rawaf,,,,,,,
,PP,2024-02-22 13:10,"Bridge Bible Church Of The Mennonite Brethren, 12225 Stockdale Hwy, Bakersfield, CA, 93314, USA",KC,LOCAL,Kern,5.0,N 35° 21.147' W 119° 8.283',Urban,Rawaf,,,,,,,
1761452162.0,PP,2024-02-28 18:30,"Oak Pass Avenue & Backes Lane, Kern County, CA",KC,LOCAL,Kern,5.0,N 35° 6.114' W 118° 30.367',Other - Enter reason,Jen,"ENG response but no size up on comms; units cleared scene and FM ""no need to model""",,,,,,
